+4678045311.0ns POS: x=190, y=110, z=0; VEL:50, y=0, z=0
+4709623628.0ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+4709623628.0ns POS: x=190, y=50, z=0; VEL:50, y=0, z=0
+5078045311.0ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+5078045311.0ns POS: x=210, y=110, z=0; VEL:0, y=50, z=0
+5109623628.0ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+5109623628.0ns POS: x=210, y=50, z=0; VEL:0, y=-50, z=0
+5509623628.0ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+5509623628.0ns POS: x=210, y=30, z=0; VEL:-50, y=0, z=0
+5791389866.0ns POS: x=210, y=145.667, z=0; VEL:0, y=0, z=0
+5791389866.0ns POS: x=210, y=145.667, z=0; VEL:0, y=50.0101, z=0
+5803339709.0ns POS: x=195.314, y=30, z=0; VEL:0, y=0, z=0
+5803339709.0ns POS: x=195.314, y=30, z=0; VEL:-50, y=0, z=0
+5909623628.0ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+5909623628.0ns POS: x=190, y=30, z=0; VEL:0, y=-50, z=0
+5991349486.0ns POS: x=210, y=155.667, z=0; VEL:0, y=0, z=0
+5991349486.0ns POS: x=210, y=155.667, z=0; VEL:0, y=50, z=0
+6191349486.0ns POS: x=210, y=165.667, z=0; VEL:0, y=0, z=0
+6191349486.0ns POS: x=210, y=165.667, z=0; VEL:0, y=50, z=0
+6278004930.0ns POS: x=210, y=170, z=0; VEL:0, y=0, z=0
+6278004930.0ns POS: x=210, y=170, z=0; VEL:-50, y=0, z=0
+6309623628.0ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+6309623628.0ns POS: x=190, y=10, z=0; VEL:50, y=0, z=0
+6391349486.0ns POS: x=204.333, y=170, z=0; VEL:0, y=0, z=0
+6391349486.0ns POS: x=204.333, y=170, z=0; VEL:-50.2758, y=0, z=0
+6590252518.0ns POS: x=194.333, y=170, z=0; VEL:0, y=0, z=0
+6590252518.0ns POS: x=194.333, y=170, z=0; VEL:-50, y=0, z=0
+6703339709.0ns POS: x=209.686, y=10, z=0; VEL:0, y=0, z=0
+6703339709.0ns POS: x=209.686, y=10, z=0; VEL:50.2895, y=0, z=0
+6709587451.0ns POS: x=210, y=10, z=0; VEL:0, y=0, z=0
+6709587451.0ns POS: x=210, y=10, z=0; VEL:0, y=50.2895, z=0
+6802764004.0ns POS: x=210, y=14.6858, z=0; VEL:0, y=0, z=0
+6802764004.0ns POS: x=210, y=14.6858, z=0; VEL:0, y=50, z=0
+6890252518.0ns POS: x=179.333, y=170, z=0; VEL:0, y=0, z=0
+6890252518.0ns POS: x=179.333, y=170, z=0; VEL:-50.0796, y=0, z=0
+7076611377.0ns POS: x=170, y=170, z=0; VEL:0, y=0, z=0
+7076611377.0ns POS: x=170, y=170, z=0; VEL:0, y=50.0796, z=0
+7389458044.0ns POS: x=170, y=185.667, z=0; VEL:0, y=0, z=0
+7389458044.0ns POS: x=170, y=185.667, z=0; VEL:0, y=50.0874, z=0
+7475962253.0ns POS: x=170, y=190, z=0; VEL:0, y=0, z=0
+7475962253.0ns POS: x=170, y=190, z=0; VEL:50.0874, y=0, z=0
+7502764004.0ns POS: x=210, y=49.6858, z=0; VEL:0, y=0, z=0
+7502764004.0ns POS: x=210, y=49.6858, z=0; VEL:0, y=50, z=0
+7509047923.0ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+7509047923.0ns POS: x=210, y=50, z=0; VEL:-50, y=0, z=0
+7688934467.0ns POS: x=180.667, y=190, z=0; VEL:0, y=0, z=0
+7688934467.0ns POS: x=180.667, y=190, z=0; VEL:50, y=0, z=0
+7875589912.0ns POS: x=190, y=190, z=0; VEL:0, y=0, z=0
+7875589912.0ns POS: x=190, y=190, z=0; VEL:0, y=50, z=0
+7888934467.0ns POS: x=190, y=190.667, z=0; VEL:0, y=0, z=0
+7888934467.0ns POS: x=190, y=190.667, z=0; VEL:0, y=50, z=0
+7909047922.0ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+7909047922.0ns POS: x=190, y=50, z=0; VEL:0, y=50, z=0
+8275589912.0ns POS: x=190, y=210, z=0; VEL:0, y=0, z=0
+8275589912.0ns POS: x=190, y=210, z=0; VEL:50, y=0, z=0
+8302764004.0ns POS: x=190, y=69.6858, z=0; VEL:0, y=0, z=0
+8302764004.0ns POS: x=190, y=69.6858, z=0; VEL:0, y=50.3745, z=0
+8388934467.0ns POS: x=195.667, y=210, z=0; VEL:0, y=0, z=0
+8388934467.0ns POS: x=195.667, y=210, z=0; VEL:50, y=0, z=0
+8675589912.0ns POS: x=210, y=210, z=0; VEL:0, y=0, z=0
+8675589912.0ns POS: x=210, y=210, z=0; VEL:0, y=-50, z=0
+8788934467.0ns POS: x=210, y=204.333, z=0; VEL:0, y=0, z=0
+8788934467.0ns POS: x=210, y=204.333, z=0; VEL:0, y=-50, z=0
+8988934467.0ns POS: x=210, y=194.333, z=0; VEL:0, y=0, z=0
+8988934467.0ns POS: x=210, y=194.333, z=0; VEL:0, y=-50.0389, z=0
+9188778969.0ns POS: x=210, y=184.333, z=0; VEL:0, y=0, z=0
+9188778969.0ns POS: x=210, y=184.333, z=0; VEL:0, y=-50, z=0
+9588778969.0ns POS: x=210, y=164.333, z=0; VEL:0, y=0, z=0
+9588778969.0ns POS: x=210, y=164.333, z=0; VEL:0, y=-50.1734, z=0
+9593098975.0ns POS: x=190, y=134.686, z=0; VEL:0, y=0, z=0
+9593098975.0ns POS: x=190, y=134.686, z=0; VEL:0, y=50.0754, z=0
+9874443750.0ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+9874443750.0ns POS: x=210, y=150, z=0; VEL:-50.1734, y=0, z=0
+9892647448.0ns POS: x=190, y=149.686, z=0; VEL:0, y=0, z=0
+9892647448.0ns POS: x=190, y=149.686, z=0; VEL:0, y=50.0415, z=0
+9898926150.0ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+9898926150.0ns POS: x=190, y=150, z=0; VEL:50.0415, y=0, z=0
+9992564436.0ns POS: x=194.686, y=150, z=0; VEL:0, y=0, z=0
+9992564436.0ns POS: x=194.686, y=150, z=0; VEL:50.062, y=0, z=0
+10298468895.0ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+10298468895.0ns POS: x=210, y=150, z=0; VEL:0, y=-50.062, z=0
+10491944978.0ns POS: x=210, y=140.314, z=0; VEL:0, y=0, z=0
+10491944978.0ns POS: x=210, y=140.314, z=0; VEL:0, y=-50, z=0
+10691944978.0ns POS: x=210, y=130.314, z=0; VEL:0, y=0, z=0
+10691944978.0ns POS: x=210, y=130.314, z=0; VEL:0, y=-50, z=0
+10698228897.0ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+10698228897.0ns POS: x=210, y=130, z=0; VEL:-50, y=0, z=0
+11070296623.0ns POS: x=150, y=150, z=0; VEL:0, y=0, z=0
+11070296623.0ns POS: x=150, y=150, z=0; VEL:0, y=-50.1734, z=0
+11083595061.0ns POS: x=150, y=149.333, z=0; VEL:0, y=0, z=0
+11083595061.0ns POS: x=150, y=149.333, z=0; VEL:0, y=-50.2473, z=0
+11098228897.0ns POS: x=190, y=130, z=0; VEL:0, y=0, z=0
+11098228897.0ns POS: x=190, y=130, z=0; VEL:0, y=-50, z=0
+11183102827.0ns POS: x=150, y=144.333, z=0; VEL:0, y=0, z=0
+11183102827.0ns POS: x=150, y=144.333, z=0; VEL:0, y=-50.011, z=0
+11498228897.0ns POS: x=190, y=110, z=0; VEL:0, y=0, z=0
+11498228897.0ns POS: x=190, y=110, z=0; VEL:50, y=0, z=0
+11691944978.0ns POS: x=199.686, y=110, z=0; VEL:0, y=0, z=0
+11691944978.0ns POS: x=199.686, y=110, z=0; VEL:50.0078, y=0, z=0
+11898196717.0ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+11898196717.0ns POS: x=210, y=110, z=0; VEL:0, y=50.0078, z=0
+12182882880.0ns POS: x=150, y=94.3328, z=0; VEL:0, y=0, z=0
+12182882880.0ns POS: x=150, y=94.3328, z=0; VEL:0, y=-50.1493, z=0
+12269280275.0ns POS: x=150, y=90, z=0; VEL:0, y=0, z=0
+12269280275.0ns POS: x=150, y=90, z=0; VEL:50.1493, y=0, z=0
+12298134319.0ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+12298134319.0ns POS: x=210, y=130, z=0; VEL:-50.0078, y=0, z=0
+12382287303.0ns POS: x=155.667, y=90, z=0; VEL:0, y=0, z=0
+12382287303.0ns POS: x=155.667, y=90, z=0; VEL:50, y=0, z=0
+12591804581.0ns POS: x=195.314, y=130, z=0; VEL:0, y=0, z=0
+12591804581.0ns POS: x=195.314, y=130, z=0; VEL:-50.0236, y=0, z=0
+12668942748.0ns POS: x=170, y=90, z=0; VEL:0, y=0, z=0
+12668942748.0ns POS: x=170, y=90, z=0; VEL:0, y=-50, z=0
+12991615720.0ns POS: x=175.314, y=130, z=0; VEL:0, y=0, z=0
+12991615720.0ns POS: x=175.314, y=130, z=0; VEL:-50, y=0, z=0
+13497899639.0ns POS: x=150, y=130, z=0; VEL:0, y=0, z=0
+13497899639.0ns POS: x=150, y=130, z=0; VEL:0, y=-50, z=0
+13682287303.0ns POS: x=170, y=39.3328, z=0; VEL:0, y=0, z=0
+13682287303.0ns POS: x=170, y=39.3328, z=0; VEL:0, y=-50, z=0
+13882287303.0ns POS: x=170, y=29.3328, z=0; VEL:0, y=0, z=0
+13882287303.0ns POS: x=170, y=29.3328, z=0; VEL:0, y=-50.2486, z=0
+13897899639.0ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+13897899639.0ns POS: x=150, y=110, z=0; VEL:50, y=0, z=0
+14180803102.0ns POS: x=170, y=14.3328, z=0; VEL:0, y=0, z=0
+14180803102.0ns POS: x=170, y=14.3328, z=0; VEL:0, y=-50, z=0
+14267458546.0ns POS: x=170, y=10, z=0; VEL:0, y=0, z=0
+14267458546.0ns POS: x=170, y=10, z=0; VEL:50, y=0, z=0
+14297899639.0ns POS: x=170, y=110, z=0; VEL:0, y=0, z=0
+14297899639.0ns POS: x=170, y=110, z=0; VEL:0, y=50, z=0
+14667458546.0ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+14667458546.0ns POS: x=190, y=10, z=0; VEL:0, y=50, z=0
+14697899639.0ns POS: x=170, y=130, z=0; VEL:0, y=0, z=0
+14697899639.0ns POS: x=170, y=130, z=0; VEL:50, y=0, z=0
+14880803102.0ns POS: x=190, y=20.6672, z=0; VEL:0, y=0, z=0
+14880803102.0ns POS: x=190, y=20.6672, z=0; VEL:0, y=50.297, z=0
+14991615720.0ns POS: x=184.686, y=130, z=0; VEL:0, y=0, z=0
+14991615720.0ns POS: x=184.686, y=130, z=0; VEL:50, y=0, z=0
+15066356342.0ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+15066356342.0ns POS: x=190, y=30, z=0; VEL:50.297, y=0, z=0
+15191615720.0ns POS: x=194.686, y=130, z=0; VEL:0, y=0, z=0
+15191615720.0ns POS: x=194.686, y=130, z=0; VEL:50, y=0, z=0
+15463994333.0ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+15463994333.0ns POS: x=210, y=30, z=0; VEL:0, y=50.297, z=0
+15497899639.0ns POS: x=210, y=130, z=0; VEL:0, y=0, z=0
+15497899639.0ns POS: x=210, y=130, z=0; VEL:0, y=50, z=0
+15861632324.0ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+15861632324.0ns POS: x=210, y=50, z=0; VEL:-50.297, y=0, z=0
+15897899639.0ns POS: x=210, y=150, z=0; VEL:0, y=0, z=0
+15897899639.0ns POS: x=210, y=150, z=0; VEL:-50, y=0, z=0
+16091615720.0ns POS: x=200.314, y=150, z=0; VEL:0, y=0, z=0
+16091615720.0ns POS: x=200.314, y=150, z=0; VEL:-50.0516, y=0, z=0
+16191512544.0ns POS: x=195.314, y=150, z=0; VEL:0, y=0, z=0
+16191512544.0ns POS: x=195.314, y=150, z=0; VEL:-50, y=0, z=0
+16259270315.0ns POS: x=190, y=50, z=0; VEL:0, y=0, z=0
+16259270315.0ns POS: x=190, y=50, z=0; VEL:0, y=50.297, z=0
+16297796463.0ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+16297796463.0ns POS: x=190, y=150, z=0; VEL:0, y=-50, z=0
+17054546297.0ns POS: x=190, y=90, z=0; VEL:0, y=0, z=0
+17054546297.0ns POS: x=190, y=90, z=0; VEL:50.297, y=0, z=0
+17266631048.0ns POS: x=200.667, y=90, z=0; VEL:0, y=0, z=0
+17266631048.0ns POS: x=200.667, y=90, z=0; VEL:50.161, y=0, z=0
+17452687428.0ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+17452687428.0ns POS: x=210, y=90, z=0; VEL:0, y=50.161, z=0
+17497796463.0ns POS: x=190, y=90, z=0; VEL:0, y=0, z=0
+17497796463.0ns POS: x=190, y=90, z=0; VEL:50, y=0, z=0
+17565668208.0ns POS: x=210, y=95.6672, z=0; VEL:0, y=0, z=0
+17565668208.0ns POS: x=210, y=95.6672, z=0; VEL:0, y=50, z=0
+17765668208.0ns POS: x=210, y=105.667, z=0; VEL:0, y=0, z=0
+17765668208.0ns POS: x=210, y=105.667, z=0; VEL:0, y=50.0004, z=0
+17852322910.0ns POS: x=210, y=110, z=0; VEL:0, y=0, z=0
+17852322910.0ns POS: x=210, y=110, z=0; VEL:-50.0004, y=0, z=0
+17897796463.0ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+17897796463.0ns POS: x=210, y=90, z=0; VEL:0, y=-50, z=0
+18391512544.0ns POS: x=210, y=65.3142, z=0; VEL:0, y=0, z=0
+18391512544.0ns POS: x=210, y=65.3142, z=0; VEL:0, y=-50, z=0
+18491512544.0ns POS: x=210, y=60.3142, z=0; VEL:0, y=0, z=0
+18491512544.0ns POS: x=210, y=60.3142, z=0; VEL:0, y=-50, z=0
+18697796463.0ns POS: x=210, y=50, z=0; VEL:0, y=0, z=0
+18697796463.0ns POS: x=210, y=50, z=0; VEL:-50, y=0, z=0
+18891512544.0ns POS: x=200.314, y=50, z=0; VEL:0, y=0, z=0
+18891512544.0ns POS: x=200.314, y=50, z=0; VEL:-50.0003, y=0, z=0
+19052312621.0ns POS: x=150, y=110, z=0; VEL:0, y=0, z=0
+19052312621.0ns POS: x=150, y=110, z=0; VEL:0, y=50.0004, z=0
+19291510338.0ns POS: x=180.314, y=50, z=0; VEL:0, y=0, z=0
+19291510338.0ns POS: x=180.314, y=50, z=0; VEL:-50, y=0, z=0
+19452309192.0ns POS: x=150, y=130, z=0; VEL:0, y=0, z=0
+19452309192.0ns POS: x=150, y=130, z=0; VEL:50.0004, y=0, z=0
+19497794257.0ns POS: x=170, y=50, z=0; VEL:0, y=0, z=0
+19497794257.0ns POS: x=170, y=50, z=0; VEL:0, y=-50, z=0
+19852305762.0ns POS: x=170, y=130, z=0; VEL:0, y=0, z=0
+19852305762.0ns POS: x=170, y=130, z=0; VEL:0, y=50.0004, z=0
+20252302333.0ns POS: x=170, y=150, z=0; VEL:0, y=0, z=0
+20252302333.0ns POS: x=170, y=150, z=0; VEL:50.0004, y=0, z=0
+20291510338.0ns POS: x=170, y=10.3142, z=0; VEL:0, y=0, z=0
+20291510338.0ns POS: x=170, y=10.3142, z=0; VEL:0, y=-50.0262, z=0
+20297790972.0ns POS: x=170, y=10, z=0; VEL:0, y=0, z=0
+20297790972.0ns POS: x=170, y=10, z=0; VEL:50.0262, y=0, z=0
+20365645916.0ns POS: x=175.667, y=150, z=0; VEL:0, y=0, z=0
+20365645916.0ns POS: x=175.667, y=150, z=0; VEL:50.0959, y=0, z=0
+20591353493.0ns POS: x=184.686, y=10, z=0; VEL:0, y=0, z=0
+20591353493.0ns POS: x=184.686, y=10, z=0; VEL:50, y=0, z=0
+20651752639.0ns POS: x=190, y=150, z=0; VEL:0, y=0, z=0
+20651752639.0ns POS: x=190, y=150, z=0; VEL:0, y=50.0959, z=0
+20697637412.0ns POS: x=190, y=10, z=0; VEL:0, y=0, z=0
+20697637412.0ns POS: x=190, y=10, z=0; VEL:0, y=50, z=0
+21097637412.0ns POS: x=190, y=30, z=0; VEL:0, y=0, z=0
+21097637412.0ns POS: x=190, y=30, z=0; VEL:50, y=0, z=0
+21363731695.0ns POS: x=190, y=185.667, z=0; VEL:0, y=0, z=0
+21363731695.0ns POS: x=190, y=185.667, z=0; VEL:0, y=50, z=0
+21450387140.0ns POS: x=190, y=190, z=0; VEL:0, y=0, z=0
+21450387140.0ns POS: x=190, y=190, z=0; VEL:50, y=0, z=0
+21463731695.0ns POS: x=190.667, y=190, z=0; VEL:0, y=0, z=0
+21463731695.0ns POS: x=190.667, y=190, z=0; VEL:50.1461, y=0, z=0
+21497637412.0ns POS: x=210, y=30, z=0; VEL:0, y=0, z=0
+21497637412.0ns POS: x=210, y=30, z=0; VEL:0, y=50, z=0
+21849260665.0ns POS: x=210, y=190, z=0; VEL:0, y=0, z=0
+21849260665.0ns POS: x=210, y=190, z=0; VEL:0, y=50.1461, z=0
+22191353493.0ns POS: x=210, y=64.6858, z=0; VEL:0, y=0, z=0
+22191353493.0ns POS: x=210, y=64.6858, z=0; VEL:0, y=50.0527, z=0
+22248095313.0ns POS: x=210, y=210, z=0; VEL:0, y=0, z=0
+22248095313.0ns POS: x=210, y=210, z=0; VEL:-50.1461, y=0, z=0
+22261400990.0ns POS: x=209.333, y=210, z=0; VEL:0, y=0, z=0
+22261400990.0ns POS: x=209.333, y=210, z=0; VEL:-50, y=0, z=0
+22661400990.0ns POS: x=189.333, y=210, z=0; VEL:0, y=0, z=0
+22661400990.0ns POS: x=189.333, y=210, z=0; VEL:-50.2765, y=0, z=0
+22697104380.0ns POS: x=210, y=90, z=0; VEL:0, y=0, z=0
+22697104380.0ns POS: x=210, y=90, z=0; VEL:-50.0527, y=0, z=0
+23158651608.0ns POS: x=164.333, y=210, z=0; VEL:0, y=0, z=0
+23158651608.0ns POS: x=164.333, y=210, z=0; VEL:-50.1351, y=0, z=0
+23290195378.0ns POS: x=180.314, y=90, z=0; VEL:0, y=0, z=0
+23290195378.0ns POS: x=180.314, y=90, z=0; VEL:-50.0395, y=0, z=0
+23557573353.0ns POS: x=144.333, y=210, z=0; VEL:0, y=0, z=0
+23557573353.0ns POS: x=144.333, y=210, z=0; VEL:-50, y=0, z=0
+23657573353.0ns POS: x=139.333, y=210, z=0; VEL:0, y=0, z=0
+23657573353.0ns POS: x=139.333, y=210, z=0; VEL:-50.1776, y=0, z=0
+23843568269.0ns POS: x=130, y=210, z=0; VEL:0, y=0, z=0
+23843568269.0ns POS: x=130, y=210, z=0; VEL:0, y=-50.1776, z=0
+23896000991.0ns POS: x=150, y=90, z=0; VEL:0, y=0, z=0
+23896000991.0ns POS: x=150, y=90, z=0; VEL:0, y=-50.0395, z=0
+24155803974.0ns POS: x=130, y=194.333, z=0; VEL:0, y=0, z=0
+24155803974.0ns POS: x=130, y=194.333, z=0; VEL:0, y=-50.0508, z=0
+24255702465.0ns POS: x=130, y=189.333, z=0; VEL:0, y=0, z=0
+24255702465.0ns POS: x=130, y=189.333, z=0; VEL:0, y=-50, z=0
+24555702465.0ns POS: x=130, y=174.333, z=0; VEL:0, y=0, z=0
+24555702465.0ns POS: x=130, y=174.333, z=0; VEL:0, y=-50.0057, z=0
+24589169790.0ns POS: x=150, y=55.3142, z=0; VEL:0, y=0, z=0
+24589169790.0ns POS: x=150, y=55.3142, z=0; VEL:0, y=-50.0885, z=0
+24642347966.0ns POS: x=130, y=170, z=0; VEL:0, y=0, z=0
+24642347966.0ns POS: x=130, y=170, z=0; VEL:50.0057, y=0, z=0
+24855668038.0ns POS: x=140.667, y=170, z=0; VEL:0, y=0, z=0
